BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0                         6804.373650608836         -591.8208020951877        -2208.7053023954          
BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0.08036507945871563       6066.588803337662         986.7796859406635         3729.938238288194         
0.08151687095596572       5638.801488973632         1144.33150704769          4314.384236532155         
0.08266958341482678       5150.872472116701         1289.873420308968         4853.426361786738         
0.08382326787250349       4607.898794532266         1421.856685769084         5341.313368321787         
0.08497796185110929       4015.567362240824         1538.871588153573         5772.82010071859          
0.08613365413839347       3380.117907449057         1639.659874713571         6143.29385943282          
0.08729035744181601       2708.241936168437         1723.135905650926         6448.732682317065         
0.08844804485852365       2007.047649901565         1788.392921192067         6685.808626380124         
0.08960665695849457       1283.985019856304         1834.715735370748         6851.914651566355         
0.09076611637283349       546.7592183863094         1861.591107961547         6945.202687386322         
0.09192634715873282       -196.7643895479484        1868.714631835482         6964.608563299077         
0.09308724972652271       -938.6294484707175        1855.994329880693         6909.864856782649         
0.0942487312713638        -1670.894573367752        1823.552554970821         6781.507004303683         
0.09541067969985306       -2385.703783544428        1771.725529011165         6580.870892814598         
0.0965729841736902        -3075.386179171036        1701.059960677125         6310.079206478723         
0.09773554071216495       -3732.543485766122        1612.306627498616         5972.016502005775         
0.09889824246056378       -4350.125689816216        1506.412762248749         5570.299886781993         
0.1000609930779319        -4921.515849080757        1384.510574321945         5109.235120489337         
0.1012237161376106        -5440.605305090675        1247.903155879319         4593.762996961786         
0.1023863376140071        -5901.850009258352        1098.051610353009         4029.41043946324          
0.10354880417799          -6300.33685092489         936.556589357866          3422.220572548133         
0.1047110416839132        -6631.821496809002        765.1464127149858         2778.707635407182         
0.1058730476870551        -6892.799426262737        585.6446316333207         2105.734759044328         
0.1070347918030166        -7080.509482760232        399.9644061230071         1410.492552222152         
0.108196249089815         -7192.97490125681         210.0834165695511         700.4045932249629         
0.1093574149745109        -7229.023294614885        18.02010436876276         -16.96190100810601        
0.1105183147010393        -7188.292196280283        -174.1895360216549        -733.9831895633079        
0.1116789299921948        -7071.233100384481        -364.501323705629         -1443.014436768133        
0.1128392901700863        -6879.102927335271        -550.8994283394059        -2136.526414197653        
0.1139994033583207        -6613.953325568425        -731.4062060874769        -2807.142495011331        
0.1151592742098728        -6278.609927058014        -904.1060403582103        -3447.727793606869        
0.1163189044709725        -5876.643056705836        -1067.165721796239        -4051.465264887777        
0.1174782952475653        -5412.329514454549        -1218.854161865757        -4611.929183700066        
0.1186374549870379        -4890.603415232195        -1357.561536911786        -5123.156335053263        
0.1197963373415405        -4317.034293046148        -1481.809443533894        -5579.683967171159        
0.1209549366540159        -3697.726252482329        -1590.278353293224        -5976.651296950133        
0.1221132252612733        -3039.281402565151        -1681.814313215109        -6309.824312806783        
0.123271158150601         -2348.730290400838        -1755.442993239736        -6575.64755555764         
0.1244286895889673        -1633.448086289239        -1810.382092947688        -6771.289548271046        
0.1255857645919605        -901.0804592664298        -1846.049616091771        -6894.672883571958        
0.1267423284116376        -159.4552793793553        -1862.070993826921        -6944.499782280417        
0.1278983350384806        583.5078739863427         -1858.283075375947        -6920.265877882088        
0.1290537275272072        1319.871098629645         -1834.735812796723        -6822.265575520774        
0.1302084443159401        2041.768928290601         -1791.69249494628         -6651.591711727438        
0.1313624648209952        2741.52228087222          -1729.624588377143        -6410.114698813098        
0.1325157488172408        3411.683630305909         -1649.208173710774        -6100.468521260802        
